meta_score,title,platform,date,user_score,esrb_rating,developers,genres
,Super Mario 3D World + Bowsers Fury,Switch,2/12/2021,,,Nintendo,"Action, Platformer, 3D"
,Super Smash Bros. Ultimate: Sephiroth,Switch,12/22/2020,,,Nintendo,"Action, 2D, Fighting"
66,Fitness Boxing 2: Rhythm & Exercise,Switch,12/4/2020,6.2,E,"Nintendo,  Imagineer Co., Ltd.","Miscellaneous, Exercise / Fitness"
63,Fire Emblem: Shadow Dragon & the Blade of Light,Switch,12/4/2020,7.6,E,Intelligent Systems,"Strategy, Turn-Based, Tactics"
79,Hyrule Warriors: Age of Calamity,Switch,11/20/2020,8.1,T,"Omega Force,  Koei Tecmo Games","Action, ""Beat-Em-Up"", 3D"
,Pokemon Sword + Pokemon Sword Expansion Pass,Switch,11/6/2020,6.7,E,Game Freak,"Role-Playing, Trainer"
,Pokemon Shield + Pokemon Shield Expansion Pass,Switch,11/6/2020,6.6,E,Game Freak,"Role-Playing, Trainer"
85,Pikmin 3 Deluxe,Switch,10/30/2020,8.4,E10+,"Eighting,  Nintendo","Strategy, Real-Time, General"
79,Part Time UFO,Switch,10/28/2020,7.3,E10+,HAL Labs,"Action, Arcade"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,10/23/2020,,E,Brace Yourself Games,"Action, Rhythm, Music"
75,Pokemon Sword / Shield: The Crown Tundra,Switch,10/22/2020,7.4,,Game Freak,"Role-Playing, Trainer"
75,Mario Kart Live: Home Circuit,Switch,10/16/2020,7.3,E,"Nintendo,  Velan Studios","Racing, Arcade, Automobile"
,Super Smash Bros. Ultimate: Steve & Alex,Switch,10/13/2020,9.3,E10+,Nintendo,"Action, Fighting, 2D"
,Mario Kart 8 Deluxe + Super Mario Party,Switch,10/4/2020,,E,Nintendo,"Miscellaneous, Compilation"
75,Super Mario Bros. 35,Switch,10/1/2020,7.5,,Nintendo,"Action, Platformer, 2D"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,Switch,9/23/2020,,E,Brace Yourself Games,"Action, Rhythm, Music"
65,Kirby Fighters 2,Switch,9/23/2020,7.9,,"Nintendo,  HAL Labs","Action, Fighting, 2D"
82,Super Mario 3D All-Stars,Switch,9/18/2020,6.3,E,Nintendo,"Miscellaneous, Compilation"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,Switch,8/26/2020,,E,Brace Yourself Games,"Action, Rhythm, Music"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,Switch,7/20/2020,,E,Brace Yourself Games,"Action, Rhythm, Music"
80,Paper Mario: The Origami King,Switch,7/17/2020,7,E,Intelligent Systems,"Role-Playing, General"
,Super Smash Bros. Ultimate: Min Min,Switch,6/29/2020,7.8,,Nintendo,"Action, Fighting, 2D"
64,Pokemon Cafe Mix,Switch,6/23/2020,7.7,E,The Pokemon Company,"Puzzle, Matching"
69,Pokemon Sword / Shield: The Isle of Armor,Switch,6/17/2020,5.3,E,Game Freak,"Role-Playing, Trainer"
,Jump Rope Challenge,Switch,6/15/2020,7.4,,Nintendo,"Action, General"
82,Clubhouse Games: 51 Worldwide Classics,Switch,6/5/2020,7.8,E,"Nintendo,  Nd Cube","Miscellaneous, Party / Minigame"
89,Xenoblade Chronicles: Definitive Edition,Switch,5/29/2020,8.9,T,Monolith Soft,"Role-Playing, Action RPG"
,Arcade Archives: Vs. Wrecking Crew,Switch,5/1/2020,,E,Nintendo,"Action, Platformer, 2D"
,Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,Switch,3/26/2020,,T,Team Ninja,"Role-Playing, Action RPG"
78,Good Job!,Switch,3/26/2020,7.7,E,"Nintendo,  Paladin Studios","Action, General"
90,Animal Crossing: New Horizons,Switch,3/20/2020,5.5,E,Nintendo,"Simulation, Virtual, Virtual Life"
68,Pokemon Mystery Dungeon: Rescue Team DX,Switch,3/6/2020,8.2,E,Spike Chunsoft,"Role-Playing, Roguelike"
,Luigis Mansion 3: Multiplayer Pack 1 & 2,Switch,3/4/2020,,,Next Level Games,"Action Adventure, General"
75,Fire Emblem: Three Houses - Side Story: Cindered Shadows,Switch,2/13/2020,7.6,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Pokemon HOME,iOS,2/11/2020,,,Game Freak,"Miscellaneous, Application"
,Pokemon HOME,Switch,2/11/2020,2,E,Game Freak,"Miscellaneous, Application"
